在访问印度期间他在新德里人居中心演出	1	印度	3	5
扎洛格以前是斯洛文尼亚中部首都卢布尔雅那东部的一个独立定居点	1	卢布尔雅那	15	20
比肯山位于加拿大安大略省渥太华东端的比肯山塞维尔区	1	比肯山	0	3
这种海洋物种分布在印度洋（坦桑尼亚、马斯卡林群岛）和东至印度尼西亚	1	马斯卡林群岛	18	24
尽管挪威位于大陆但与挪威其他地区没有公路连接	1	挪威	2	4
柬埔寨位于东南亚地雷问题严重尤其是在农村地区	1	柬埔寨	0	3
她的父母马修和朱莉娅·摩尔于1888年来到美国住在曼哈顿的门罗街32号	1	美国	21	23
苏里南的低人口密度和丰富的自然资源吸引了大量来自邻国巴西的移民	1	苏里南	0	3
对Mslaina蚂蚁是以从西伯利亚和哈萨克斯坦各地采集的工蚁、蚁后和雄性为基础的	1	哈萨克斯坦	18	23
1623年当威尔士亲王、后来的国王查理一世在西班牙谈判一项婚姻合同时这组雕塑被赠送给了他很快它就成为英格兰最著名的意大利雕塑	1	西班牙	22	25
没有这种情况——他们以前都是塞尔维亚人不属于黑山的任何一个民族	1	黑山	22	24
唐纳德·吕目前是美国大使	1	美国	8	10
两年后他的父亲去世他的母亲搬到布宜诺斯艾利斯在巴尔瓦内拉区建立了自己的公司	1	瓦内拉	25	28
这张专辑随后由制作人约翰·布兰德在英国进行了最后的混音	1	英国	17	19
方丈去意大利后四兄弟决定庆祝但他们需要一些钱	1	意大利	3	6
这意味着可以在印度的任何地方建立一家工厂而矿产运输将由中央政府补贴	1	印度	7	9
Linux基金会开始在欧洲和日本组织类似的活动	1	日本	14	16
阿克拉机场城是阿克拉机场飞地内的一个城市发展项目	1	阿克拉	0	3
“1939年3月14日至15日在柏林与阿道夫·希特勒和赫尔曼·戈林举行的一次夜间会晤中他受到了对布拉格进行空中轰炸的威胁并被迫签署了一份接受波希米亚和摩拉维亚并入德国的文件尽管他事先没有咨询议会”	1	布拉格	48	51
神圣救世主大教堂是位于中国北京西城区的前英国国教大教堂	1	中国	11	13
他过去十年的大部分时间都住在伦敦经常往返于欧洲和加拿大之间	1	加拿大	24	27
2010年学院毕业时叶卡特琳·奇塔什维利（Ekaterine Chitashvili）移居摩尔多瓦担任总公司Elat音乐会的制作人她参与了国际音乐节和比赛、电视、音乐项目以及制作流行的天才乐队和摩尔达维亚艺术家但叶卡捷琳娜的主要活动是扩大与MaximuM国际音乐会（international concert of MaximuM）的联系和附属公司该公司目前在美洲、欧洲和独联体设有13个办事处	1	摩尔多瓦	45	49
在第四次试射中他只落后新西兰选手杨旺一分排名第四十总分为571个目标	1	新西兰	11	14
猫岛是弗诺集团内巴贝尔集团的一部分是一个39公顷（96英亩）无人居住的花岗岩岛位于巴斯海峡位于澳大利亚东南部维多利亚以南的塔斯马尼亚州弗林德斯岛东海岸	1	塔斯马尼亚	61	66
在联邦成立时居住在北领地的极少数人投票成为南澳大利亚的居民	1	南澳大利亚	21	26
该船将在中国建造并于2016年底启航随后推迟至2018年	1	中国	4	6
萨拉德奥拉罗斯是阿根廷西北部朱朱伊省的一个盐湖靠近智利边界	1	智利	25	27
如今它在法国几乎不存在	1	法国	4	6
与塔伊夫协议相呼应的是该决议“呼吁所有剩余的外国军队撤出黎巴嫩”并“解散所有黎巴嫩和非黎巴嫩民兵并解除其武装”	1	黎巴嫩	28	31
从七十年代起诺瓦罗一部分时间生活在德国因为他认为欧洲是“艺术中心”	1	德国	17	19
2003年他被授予新西兰年度教练称号2005年再次获得提名	1	新西兰	9	12
1923年至1978年在美国出版未在原出版物《公共领域》中通知版权	1	美国	12	14
2007年是在日本举办的一项混合武术推广活动“骄傲搏击锦标赛”历史上的第11年	1	日本	7	9
1793年布鲁内尔不得不逃离革命前往美国但索菲亚仍留在鲁昂	1	鲁昂	27	29
s澳大利亚东部和塔斯马尼亚岛附近水域特有的对地群岛	1	塔斯马尼亚	8	13
此外澳大利亚的人口高度集中在沿海地区其重要的旅游业依赖于大堡礁和其他脆弱生态系统的健康	1	澳大利亚	2	6
大多数是从当时日本首都京都附近的神社中挑选出来的	1	京都	11	13
意大利的建筑几乎跨越3000年风格上有着著名的差异：从伊特鲁里亚式和古罗马式建筑到罗马式、哥特式、文艺复兴、巴洛克式、洛可可式、新古典主义、帝国式、新艺术主义、法西斯主义和现代建筑	1	意大利	0	3
Borislav Pekić的童年生活在塞尔维亚、黑山和克罗地亚的不同城市	1	克罗地亚	28	32
2016年1月5日帕内托利科斯宣布贝哈拉诺将返回玻利维亚为博利瓦尔俱乐部效力六个月	1	玻利维亚	24	28
阿萨胡古德是吉布提中部的一座城市	1	吉布提	6	9
虽然她的电影生涯直到四十多岁才开始但她被认为是中国最有才华的女导演之一	1	中国	23	25
回到西班牙后他在布尔戈斯担任财政部长并在纳瓦拉、吉普佐亚和萨拉戈萨等省担任官员	1	西班牙	2	5
